timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
4h,0.1,MACD+MA,0.001,0.1682975542626426,0.056595658163903995,0.6986043339109852,-0.4044303896605067,1023,23365.95108525285,6247.264526862513
1d,0.08,MACD-Only,0.0001,0.17233704886285306,0.056098301041121346,1.0174090352312744,-0.42477322315948074,1085,23446.74097725706,1674.5288316047513
1d,0.03,MACD-Only,0.0001,0.16856926255911286,0.05493190615795207,0.9666729579834222,-0.3844880855410141,1731,23371.385251182255,2198.911414840212
1d,0.05,MACD-Only,0.0001,0.16784024804898534,0.05470593983214744,0.9927949157495072,-0.42623358205783013,1503,23356.80496097971,2052.5707744846204
1h,0.05,MACD+MA,0.0001,0.16424411311160347,0.05405922557873666,0.355914335797227,-0.465916216427092,2818,23284.88226223207,5555.600511669439
2h,0.05,MACD+ADX,0.0001,0.1559147676294863,0.051392374414394926,0.5148286785512919,-0.5351624520458956,1752,23118.29535258973,2944.1633561626027
4h,0.03,MACD-Only,0.001,0.15422195644346215,0.05046765945078602,0.6557885111854138,-0.34003544528351504,2303,23084.439128869242,9296.06919859308
4h,0.05,MACD-Only,0.001,0.15370300316392527,0.05030550295875469,0.635520137476647,-0.34411471224608114,1969,23074.060063278506,8858.935083143208
4h,0.03,MACD+ADX,0.001,0.149191036102845,0.0497069266260135,0.6874971290992903,-0.5717475451507338,1359,22983.820722056902,6079.6810122128045
2h,0.03,MACD+ADX,0.0001,0.14911591186024387,0.04924929379376364,0.5223635788782955,-0.5493198603531804,2046,22982.318237204876,3053.710564513261
4h,0.08,MACD+ADX+MA,0.001,0.1454901765741281,0.04924881168217676,0.5553247873721868,-0.34409617728291364,598,22909.80353148256,3831.590972212707
4h,0.05,MACD+MA,0.001,0.14323675741044384,0.04851781429481794,0.6557300606492172,-0.37824146668286396,1368,22864.735148208878,6822.632244266704
1h,0.03,MACD+MA,0.0001,0.14477396058368686,0.04792276657537964,0.32808977293795805,-0.4021486209658762,3216,22895.479211673737,5717.090184948219
4h,0.03,MACD+MA,0.001,0.1377975803429099,0.04674953009732197,0.6637716217937673,-0.375744712174244,1586,22755.951606858198,7096.909040354035
4h,0.05,MACD+ADX+MA,0.001,0.13636892254856714,0.04628416612913555,0.5282546428584802,-0.34440411427921447,724,22727.378450971344,4006.240043726305
1h,0.1,MACD+ADX+MA,0.001,0.12724673135036224,0.04234002888339683,0.28398128062979683,-0.41847664051262656,1345,22544.934627007246,9955.234459243966
4h,0.03,MACD+ADX+MA,0.001,0.11682209888566741,0.03987876304444127,0.5308349283455632,-0.3633483931576542,850,22336.441977713348,4128.24754385602
1h,0.08,MACD+ADX+MA,0.001,0.11459739171129923,0.03827563185032812,0.2794971774864467,-0.42014034568422853,1438,22291.947834225983,10075.900658870316
1h,0.05,MACD+ADX+MA,0.001,0.07862755632122798,0.026550686163877346,0.2481399944838006,-0.42024837138297333,1717,21572.551126424558,10337.137081309935
1d,0.1,MACD-Only,0.001,0.053067553355212516,0.017908584296040475,0.8232468490314999,-0.36869018657831976,921,21061.35106710425,4392.574552058398
1h,0.03,MACD+ADX+MA,0.001,0.04317698296761607,0.014742137210316253,0.23859659239610603,-0.42126298965723963,1934,20863.539659352322,10523.957360611053
2h,0.1,MACD+ADX+MA,0.001,0.03542360091308838,0.012206125611527119,0.35350875445339586,-0.41562040170140957,850,20708.472018261768,5836.145671926426
1h,0.03,MACD-Only,0.0,0.03161339216894543,0.010741521445021718,0.35638738419822036,-0.4036407042540957,4681,20632.267843378908,5038.862231371402
1h,0.05,MACD-Only,0.0,0.02888580940814589,0.009823342978028782,0.35703059083657573,-0.4023729387055134,3936,20577.716188162918,4727.928262623224
1h,0.08,MACD-Only,0.0,0.025286970713597867,0.008609426830779254,0.3598731502014324,-0.3919998826007979,3037,20505.739414271957,4177.497801217192
2h,0.08,MACD+ADX+MA,0.001,0.018204839233349368,0.006307516504088229,0.3404405579534982,-0.4154737652752968,889,20364.09678466699,5832.688232379098
1d,0.08,MACD-Only,0.001,0.00838393754344513,0.0028701520957687965,0.8179916442752602,-0.43763035650930715,1085,20167.6787508689,4783.940360016344
1h,0.1,MACD-Only,0.0,0.006225522677169026,0.0021327441683374193,0.3788035872795759,-0.4440186472964016,2760,20124.510453543382,4009.89549202703
2h,0.05,MACD+ADX+MA,0.001,0.001406442331589819,0.0004899502852160342,0.31123455754273305,-0.4151680409112304,1103,20028.128846631796,6121.350202704176
2h,0.03,MACD+ADX+MA,0.001,-0.019887527667989513,-0.0069766205459086406,0.3020074692287491,-0.41615860279034145,1286,19602.24944664021,6319.107695396581
1d,0.05,MACD-Only,0.001,-0.027479742283808117,-0.009519682293875786,0.7434315392883435,-0.4418020956013856,1500,19450.40515432384,5683.856819197402
1h,0.08,MACD-Only,0.0001,-0.030849700479780195,-0.01069922894287434,0.33873896192812053,-0.4027129489042749,3037,19383.005990404396,5228.200633186625
1h,0.05,MACD-Only,0.0001,-0.03195911748892577,-0.011088134319078846,0.33390074812262294,-0.42104913877796835,3936,19360.817650221485,5894.450625765332
1h,0.03,MACD-Only,0.0001,-0.03326665440284904,-0.011546866451975002,0.3316489764994304,-0.42346841089351006,4681,19334.66691194302,6250.854346773451
