,strategy,benchmark
2023-11-28,66631.02131161011,65257.05938606281
2023-11-29,66346.41062324823,65468.14054541068
2023-11-30,67360.32007296247,66478.094714362
2023-12-01,69084.26282788474,68583.3820651627
2023-12-04,69182.85479327226,68107.4007773452
2023-12-05,69372.64307345501,68593.73746836482
2023-12-06,69316.14140956795,68445.11129064613
2023-12-07,68965.7112122427,68835.27522797968
2023-12-08,69364.61200935113,69005.69796302124
2023-12-11,68784.5602680231,68773.18550656266
2023-12-12,68784.61155397215,68950.95863010053
2023-12-13,70415.31013819648,69941.4288022214
2023-12-14,70776.60159316345,72085.30430130144
2023-12-15,70931.68914166978,72409.13941042467
2023-12-18,72785.77752161793,73346.1649974098
2023-12-19,72615.0488368603,72992.5638760397
2023-12-20,71660.1979155428,71922.54631104883
2023-12-21,72921.87286001409,72958.43831473598
2023-12-22,72433.87632373735,72720.06132412705
2023-12-26,72915.45191199244,73057.54761174659
2023-12-27,72718.08044202575,73053.14294719737
2023-12-28,72417.53036667971,72704.03366049219
2023-12-29,72242.58046865434,72533.06525020178
2024-01-02,74384.01683552017,73829.4659082642
2024-01-03,72984.00994826102,72557.83805515316
2024-01-04,72012.28181651267,71935.73316155546
2024-01-05,74472.91826721515,73143.25332951845
2024-01-08,74521.74627562768,73560.23365091231
2024-01-09,73138.87181634107,72611.33685036619
2024-01-10,73307.38675916061,73106.30505868286
2024-01-11,73307.21129393784,73202.35892349106
2024-01-12,73379.62282919098,73102.05389327357
2024-01-15,73319.60317788218,73030.17021353466
2024-01-16,72534.56347664363,72497.05728033249
2024-01-17,72630.15383477444,72247.67716408141
2024-01-18,72948.51434114653,72583.26044183735
2024-01-19,74438.4697408229,73763.377006353
2024-01-22,73579.61177010289,72785.67854164247
2024-01-23,74356.97914866709,73586.59741658877
2024-01-24,74540.6408743287,73834.00814763739
2024-01-25,74992.04543149413,74790.37970647152
2024-01-26,75597.54390229328,75471.1597494206
2024-01-29,75708.22442886294,76002.43861032969
2024-01-30,76465.86062292382,76071.20660850262
2024-01-31,76614.82101964625,75472.20886158069
2024-02-01,78981.44794423315,78109.7783281865
2024-02-02,80218.75936241387,78769.37516406624
2024-02-05,80219.21992900498,79152.08174125441
2024-02-06,81563.69257485245,79731.9616108686
2024-02-07,82069.94456541231,80029.7527923278
2024-02-08,81775.54837867897,79053.38169866892
2024-02-09,81942.16547326662,79018.31172650175
2024-02-12,82126.49328320395,79051.99656797279
2024-02-13,80968.16827510126,78133.86559606885
2024-02-14,81160.81347956532,78577.96773187397
2024-02-15,81240.57091300844,78341.29409216286
2024-02-16,81450.48772964571,78081.77738913779
2024-02-19,81293.00420166574,78239.41444324204
2024-02-20,81832.29901602186,77625.97868738882
2024-02-21,80659.77717544035,77322.91052236021
2024-02-22,81693.08957520191,78929.23151727996
2024-02-23,81989.03447475059,78953.96386821895
2024-02-26,80920.59638681133,78311.23951034441
2024-02-27,80141.91790698048,78008.53267448451
2024-02-28,77843.74702744812,77048.73661236058
2024-02-29,78860.68526707626,77618.77237321787
