Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2005-02-02,213566.23894276746,207053.616878934,215885.87777430864,0.48161595528238843
2005-02-03,210291.4262401479,205236.60434149628,215941.81963073194,0.4734068786674472
2005-02-04,214711.44918024653,207765.88589893046,215997.77598319974,0.4841136131075256
2005-02-07,214487.60669388933,208127.91193166023,216053.7468354684,0.3962747068018054
2005-02-08,215206.67077534448,209113.02514681133,216109.73219129522,0.3981359985821015
2005-02-09,210537.28351800292,204666.31277390904,216165.73205443844,0.38462817938578703
2005-02-10,210888.2911120257,205107.7799232729,216221.74642865732,0.3854932251550508
2005-02-11,214348.15445004322,207770.8147629814,216277.77531771205,0.3952555140303467
2005-02-14,215695.06433664422,209195.52686630204,216333.8187253638,0.3988761196760707
2005-02-15,217390.73492923478,210557.65475537028,216389.8766553748,0.40341039673898665
2005-02-16,216236.87797456872,209332.825025961,216445.9491115081,0.40007153040373156
2005-02-17,212355.81076148667,205537.93786944507,216502.03609752786,0.38894879077606054
2005-02-18,211947.2195309229,205841.7866406819,216558.1376171992,0.38761216293612505
2005-02-22,208465.29384991317,202155.44539129353,216614.2536742881,0.377222318188806
2005-02-23,208844.73600657863,202575.84770650513,216670.38427256164,0.3781927342674992
2005-02-24,212098.9373330451,205746.32326705192,216726.5294157878,0.3875743724762177
2005-02-25,213296.45331429152,206435.4560875901,216782.68910773567,0.3908549250180415
2005-02-28,210717.91976402013,204443.2197478541,216838.86335217507,0.38324110180431714
2005-03-01,213486.21753621503,206937.62842034778,216895.05215287706,0.3910809314788862
2005-03-02,213076.1799180571,206138.35614320077,216951.2555136135,0.38975105428818985
2005-03-03,211301.59428820226,205141.40787675115,217007.4734381573,0.3844665074805555
2005-03-04,212055.80742894663,204641.3458953262,217063.70593028236,0.38649682472077634
2005-03-07,215627.14690215347,207662.19211257578,217119.95299376347,0.3965016711307203
2005-03-08,212644.53934224244,204543.37447237686,217176.21463237656,0.3878782705976819
2005-03-09,212162.03922450045,204541.84548687836,217232.49084989837,0.3863272018890738
2005-03-10,212096.01727638772,204920.13746857364,217288.7816501067,0.38597710711410593
2005-03-11,210030.0472733737,203579.33032220378,217345.08703678034,0.3797765683294858
2005-03-14,211784.8175818958,206175.30884873105,217401.40701369898,0.384756124247373
2005-03-15,209448.8609364393,204940.83551175278,217457.7415846434,0.48822262659576365
2005-03-16,206434.9192213807,203596.47380255428,217514.0907533953,0.480616145532882
2005-03-17,206821.44337340828,203415.0473528288,217570.45452373737,0.4814524760134651
