,strategy,benchmark
2023-06-30,48592.23223043424,54457.92542024816
2023-07-03,51856.122685995986,57181.62291234014
2023-07-04,51481.70522666165,56945.1467646663
2023-07-05,52067.836157037425,57048.34750323505
2023-07-06,51344.303402927515,56354.34423819439
2023-07-07,51784.82107955879,56866.57992070886
2023-07-10,51726.770988323595,56612.785229282876
2023-07-11,52046.551194782485,56961.2616933152
2023-07-12,52033.933201116415,57224.61217052625
2023-07-13,52480.203002892966,57958.45449373649
2023-07-14,52161.63151618145,57554.000999689764
2023-07-17,52046.43927237841,57440.55455226078
2023-07-18,52411.56408326265,57989.75557570314
2023-07-19,52104.211707490125,57565.28491509353
2023-07-20,52033.98706839347,57076.282514318314
2023-07-21,52063.97110630368,57172.31251613545
2023-07-24,51992.85927938432,57037.92541195941
2023-07-25,52624.071550082896,57301.00698033524
2023-07-26,53294.30161838883,58009.15231679183
2023-07-27,53442.499099865185,58135.86339378639
2023-07-28,53462.36658553892,58595.00830580892
2023-07-31,53559.558530808885,58595.39582863651
2023-08-01,54812.74948662243,59923.879112567476
2023-08-02,53805.86525156011,58936.71774985298
2023-08-03,54107.857506223634,59258.374542492835
2023-08-04,54513.67040735243,60160.03809932773
2023-08-07,54623.78712630999,60262.190837925795
2023-08-08,54205.08905392089,59916.45956936244
2023-08-09,54547.11926319598,59997.70420735682
2023-08-10,54466.99617387531,59825.56355075553
2023-08-11,54223.195200327915,59483.629997176315
2023-08-14,54065.17417751619,59798.238192168654
2023-08-15,54301.8512123901,60056.26871442373
2023-08-16,54695.20178104357,60347.52529381451
2023-08-17,53835.24833306307,59473.37356351937
2023-08-18,53706.40468690106,59343.028104258716
2023-08-21,53750.62194687449,59614.689158340676
2023-08-22,54207.50968011664,59755.403879456106
2023-08-23,54864.6122075559,60645.99601425148
2023-08-24,54321.08359346402,60001.063071509074
2023-08-25,54642.4247877939,60232.41241768241
2023-08-28,54960.179366915894,60508.094607804014
2023-08-29,55939.120641380774,61552.42041461898
2023-08-30,55752.63880557526,61720.19364101401
2023-08-31,54343.097049290074,60513.14723324282
2023-09-01,56524.028352435904,62419.93233969258
2023-09-04,56516.078598005966,62444.4054774871
2023-09-05,56212.548407409064,62352.76635083124
2023-09-06,56613.62468214905,62266.96625543931
2023-09-07,56409.42374006966,62056.778369333486
2023-09-08,56500.704271145994,62057.92404917328
2023-09-11,56556.60968033618,61982.36202701686
2023-09-12,56236.92522792881,61350.99032538591
2023-09-13,55971.52431976886,61007.44740624291
2023-09-14,56378.74602531769,61313.18648129851
2023-09-15,56035.55437588971,60656.69282730771
2023-09-18,56012.95353532353,60845.48357397838
2023-09-19,56564.22243836338,61202.46136577215
2023-09-20,57302.49557799642,61190.56004310361
2023-09-21,56944.66095480605,60572.75641324762
2023-09-22,56737.94371994941,60372.78807386582
2023-09-25,56571.15956534029,60365.96754024061
2023-09-26,56219.50224703369,60106.280007731104
2023-09-27,56559.54004580836,60371.69028388053
2023-09-28,56678.60543551449,60529.00229748351
2023-09-29,55742.241064562855,59348.786180394105
2023-10-02,58172.954249701404,61587.26491656554
2023-10-03,57193.61746041608,60914.679656675115
2023-10-04,57308.950764616144,61744.32694481043
2023-10-05,55095.9371183391,59788.690573520595
2023-10-06,55899.351797873955,60619.033192737974
2023-10-09,55533.65980592828,60394.87477069035
2023-10-10,56795.31890974577,61542.61567814873
2023-10-11,56944.9704535171,61359.04634219157
2023-10-12,56320.10265374751,60698.4662746481
2023-10-13,56111.19735258317,60344.10427746849
2023-10-16,56453.30549154711,61079.99040877396
2023-10-17,56333.39678054132,60871.577605699495
2023-10-18,55937.20254086537,60341.484991095575
2023-10-19,55361.180025127054,59754.71901760607
2023-10-20,54649.197107577245,59163.105657796375
2023-10-23,54542.816433409374,59059.95350007679
2023-10-24,54961.47791322722,59315.22816558648
2023-10-25,55665.6025566717,59359.04779822518
2023-10-26,56362.87787529246,58911.22707594144
2023-10-27,55973.28346056474,58375.250239184694
2023-10-30,56260.01865260879,58705.90938607843
2023-10-31,56234.56700169877,58641.253712419784
2023-11-01,58941.60917148501,61969.73734925805
2023-11-02,58942.77909313952,61967.81798390912
2023-11-03,60374.34687898395,63556.17181001697
2023-11-06,60872.63240210759,64227.300479853126
2023-11-07,60447.79633755408,63971.15707957206
2023-11-08,60163.05357230718,63875.24940781851
2023-11-09,60045.374512054914,63626.68355106
2023-11-10,60091.859414780236,64272.7915712544
2023-11-13,59960.34843928035,63858.55276027959
2023-11-14,61437.56663303688,65199.084252301036
2023-11-15,62389.2787768908,65288.93561027661
2023-11-16,62095.71516422569,65106.65618187786
2023-11-17,62416.51161363264,65486.726676391365
2023-11-20,62420.03857485144,65697.13035889203
2023-11-21,62371.85774706953,65192.61726394599
2023-11-22,62680.66140970382,65338.44930220437
2023-11-23,62954.30629046427,65678.22461410976
2023-11-24,62955.92750603793,65597.31334741053
2023-11-27,61982.733409786626,65313.00360128643
2023-11-28,61472.29173418156,65257.06261111548
2023-11-29,61592.474655963524,65468.14023916331
2023-11-30,63119.90326136322,66478.09503385914
2023-12-01,64678.89550671485,68583.3844823925
2023-12-04,64824.33637269335,68107.40192913731
2023-12-05,64556.671414045406,68593.73661139881
2023-12-06,64841.49126005909,68445.1123980856
2023-12-07,65371.25504781459,68835.27603397702
2023-12-08,65331.20729952398,69005.69880428353
2023-12-11,65447.22470748601,68773.18808331493
2023-12-12,65448.48374857188,68950.9614479201
2023-12-13,66415.16541557568,69941.42958979802
2023-12-14,68867.31339452807,72085.30518073557
2023-12-15,69692.60572509738,72409.14159739342
2023-12-18,70417.61048941623,73346.16449406883
2023-12-19,70481.56018333144,72992.5641648201
2023-12-20,69419.21425225468,71922.54698009459
2023-12-21,69964.49366464294,72958.43878957843
2023-12-22,70097.91773151283,72720.06144751266
2023-12-26,70517.0273472151,73057.5484697466
2023-12-27,70254.99359572759,73053.14484960478
2023-12-28,70282.63907812665,72704.03507390295
2023-12-29,70366.37225762336,72533.06709854894
2024-01-02,71950.27055830776,73829.46622180197
2024-01-03,70739.76806095004,72557.84036537271
2024-01-04,70448.67005085002,71935.73495973907
2024-01-05,71440.73827321525,73143.25568693643
2024-01-08,71368.9705637454,73560.23419304348
2024-01-09,70044.14614328566,72611.33880095211
2024-01-10,69999.3439562865,73106.3046635596
2024-01-11,69753.4022677102,73202.36027579101
2024-01-12,69906.23085283418,73102.05412505857
2024-01-15,70030.53133704883,73030.17269962934
2024-01-16,69471.68018671511,72497.05625057023
2024-01-17,69380.96973493241,72247.67933782906
2024-01-18,69565.1057164517,72583.258602074
2024-01-19,70369.37090002067,73763.37748874862
2024-01-22,69485.41466170426,72785.68043317397
2024-01-23,70540.66637589398,73586.59711306338
2024-01-24,70695.97761536593,73834.00911454138
2024-01-25,71367.36223442438,74790.3804391608
2024-01-26,72033.86003059166,75471.16062737399
2024-01-29,72637.7421077261,76002.44053884762
2024-01-30,72948.55172476679,76071.20760647755
2024-01-31,73000.7628760676,75472.20783853075
2024-02-01,75876.82585482708,78109.77857754138
2024-02-02,76352.41157215687,78769.37711538289
