Date,nav,benchmark,position,entropy_raw,entropy_smoothed,qqq_mxn,usd_mxn
2023-06-05,1692365.4416549245,2496723.7245864836,0,0.9401758841458142,0.9409172960107058,0.0013669471226886998,17.550399780273438
2023-06-06,1692803.9792078612,2481437.9038668913,0,0.9266799270838457,0.9374766927334205,-0.0061223516919654,17.445899963378906
2023-06-07,1693242.6303977116,2428405.3699528305,0,0.9187058714907188,0.9331826902024014,-0.021371694948085773,17.367700576782227
2023-06-08,1693681.3952539219,2456792.613986635,0,0.9304887652325152,0.9312452664197416,0.011689664495494023,17.355289459228516
2023-06-09,1694120.273805946,2468586.8243682105,0,0.9290313081616232,0.9290163512229034,0.004800653630441021,17.37220001220703
2023-06-12,1694559.2660832459,2495661.3024888197,0,0.9248966975277384,0.9259605138992881,0.01096760213307002,17.27090072631836
2023-06-13,1694998.3721152905,2516771.821175731,0,0.9273562379997691,0.9260957760824728,0.008458887696763284,17.2841796875
2023-06-14,1695437.5919315568,2527671.4811047628,0,0.9308319173154781,0.9285209852474248,0.004330809744977238,17.233789443969727
2023-06-15,1695876.9255615296,2542000.803764925,0,0.9339289473153993,0.9292090216640017,0.005668981419175267,17.127399444580078
2023-06-16,1696316.373034701,2525852.280406312,0,0.9269710305659508,0.9287969661448671,-0.006352682239397889,17.12636947631836
2023-06-20,1696755.9343805707,2514376.728322058,0,0.9165374345007933,0.9271251135394781,-0.004543239592145865,17.072999954223633
2023-06-21,1697195.6096286464,2499088.8758762567,0,0.9130617551850841,0.9242662169765412,-0.006080175764275109,17.20363998413086
2023-06-22,1697635.398808443,2515914.453288575,0,0.9234953512502416,0.9227989037634938,0.0067326846895026105,17.11750030517578
2023-06-23,1698075.3019494833,2498613.1083798576,0,0.9269710305659508,0.9214073204136042,-0.006876762000433967,17.170000076293945
2023-06-26,1698515.319081298,2461830.5433033537,0,0.9342200507975044,0.9228571244599149,-0.014721192710124842,17.1471004486084
2023-06-27,1698955.450233425,2499763.214140597,0,0.9323911532105814,0.9260278682018726,0.015408319203946474,17.117000579833984
2023-06-28,1699395.6954354101,2498715.578495905,0,0.9393490699600299,0.9312853311568616,-0.000419093952085392,17.076499938964844
2023-06-29,1699836.0547168066,2494646.1371399635,0,0.9289154738948723,0.9323693556857877,-0.0016286132727403313,17.08289909362793
2023-06-30,1700276.5281071758,2536554.298389745,0,0.9289154738948723,0.932758244351572,0.016799240832540585,17.10610008239746
2023-07-03,1700717.115636086,2544714.5324390964,0,0.9393490699600299,0.9337840481840771,0.003217054748061887,17.12080955505371
2023-07-05,1701157.817333114,2531966.299818788,0,0.9325449806356502,0.9338148136690909,-0.005009690657949428,17.035499572753906
2023-07-06,1701598.6332278438,2508343.9957533022,0,0.9288440637759564,0.9317138124322761,-0.009329628149938873,17.006080627441406
2023-07-07,1702039.5633498668,2533170.3931927467,0,0.9288440637759564,0.931699530408493,0.009897525013106812,17.231609344482422
2023-07-10,1702480.6077287826,2521682.782976794,0,0.9288440637759564,0.9316852483847098,-0.004534874656210608,17.147850036621094
2023-07-11,1702921.766394198,2518912.5635991567,0,0.9254929599344884,0.9289140263796016,-0.0010985598174118039,17.0447998046875
2023-07-12,1703363.039375728,2548347.510583834,0,0.9174974625510764,0.9259045227626869,0.011685577105788436,17.028900146484375
2023-07-13,1703804.4267029949,2571454.0751765505,0,0.9202481065052119,0.9241853313085379,0.009067273790858588,16.89642906188965
2023-07-14,1704245.9284056285,2563333.7022900037,0,0.9300423184777719,0.924424982248901,-0.0031578914688528137,16.846630096435547
2023-07-17,1704687.544513267,2570696.4114491777,0,0.9300423184777719,0.9246646331892642,0.0028723178541274486,16.73870086669922
2023-07-18,1705129.2750555556,2587855.560148401,0,0.9309494696974824,0.9257559351418628,0.006674902809527206,16.713699340820312
2023-07-19,1705571.1200621475,2593203.278363859,0,0.9300423184777719,0.9282649063272019,0.00206646703850466,16.75214958190918
2023-07-20,1706013.0795627034,2527333.8157097213,0,0.9300423184777719,0.930223748721714,-0.025400809571587746,16.711870193481445
2023-07-21,1706455.1535868917,2542977.824583278,0,0.9221392069308197,0.9286431264123236,0.006189925832636334,16.86590003967285
2023-07-24,1706897.3421643886,2563410.2007950847,0,0.9086432498688513,0.9243633126905394,0.008034822802733155,16.974300384521484
2023-07-25,1707339.6453248782,2558251.7272493234,0,0.9066553963293295,0.9195044980169088,-0.002012348060470903,16.826099395751953
2023-07-26,1707782.0630980516,2564985.9841684853,0,0.9089343533509563,0.9152829049915457,0.002632366802465702,16.926700592041016
2023-07-27,1708224.5955136083,2549156.637907361,0,0.9036757330038926,0.9100095878967698,-0.006171318813757765,16.86244010925293
2023-07-28,1708667.2426012554,2593227.0812233463,0,0.9036757330038926,0.9063168931113845,0.017288244535715647,16.84709930419922
2023-07-31,1709110.0043907072,2568984.2980649,0,0.899387294944939,0.9044657021266019,-0.009348499918876985,16.68090057373047
2023-08-01,1709552.8809116862,2571813.692434167,0,0.8914263872730372,0.9014199003153435,0.00110136693766405,16.738100051879883
2023-08-02,1709995.8721939225,2535729.687259537,0,0.8914263872730372,0.8979183070997598,-0.01403056733105612,16.8735294342041
2023-08-03,1710438.9782671537,2550761.044561466,0,0.8952137836314217,0.8962259172252655,0.005927823212960037,17.00079917907715
2023-08-04,1710882.1991611253,2586217.952712108,0,0.8907895167417088,0.8936486739728288,0.013900521268442656,17.318199157714844
2023-08-07,1711325.5349055906,2572393.063077764,0,0.8907895167417088,0.8919291183321828,-0.005345601139241207,17.08099937438965
2023-08-08,1711768.9855303103,2548087.5242442414,0,0.8907895167417088,0.8918017442259171,-0.0094486100053629,17.064699172973633
2023-08-09,1712212.5510650529,2526230.7151448955,0,0.8996921653448313,0.8934548998402759,-0.0085777309026418,17.106399536132812
2023-08-10,1712656.2315395947,2523929.609809613,0,0.9113654524660979,0.8966852336072112,-0.00091088486949642,17.059289932250977
2023-08-11,1713100.0269837198,2509074.4583206372,0,0.9113654524660979,0.9008004207520889,-0.005885723370112617,17.067699432373047
2023-08-14,1713543.93742722,2526274.180594655,0,0.9193263601379994,0.906507789431347,0.006855006720497991,16.993989944458008
2023-08-15,1713987.9628998945,2507013.051501246,0,0.9193263601379994,0.9122151581106053,-0.007624322506781578,17.045299530029297
2023-08-16,1714432.1034315508,2492598.634142617,0,0.9193263601379994,0.9161419970692389,-0.0057496379406549725,17.12866973876953
2023-08-17,1714876.3590520036,2467591.383468105,0,0.9268345827386295,0.9192358231237451,-0.010032602253717493,17.14409065246582
2023-08-18,1715320.7297910755,2457852.057802872,0,0.9278721633725932,0.9225371653050441,-0.003946895636969261,17.09787940979004
2023-08-21,1715765.2156785966,2486966.8700591316,0,0.9215759623915658,0.9229870857557575,0.011845632516338744,17.026100158691406
2023-08-22,1716209.8167444055,2481473.365631006,0,0.9230334194624578,0.923728497620649,-0.0022089174143259394,17.012800216674805
2023-08-23,1716654.5330183476,2504845.737031889,0,0.9055392203023261,0.9209710696535145,0.009418747637833125,16.906450271606445
2023-08-24,1717099.3645302765,2432838.212129701,0,0.9242947052326729,0.9204630941523231,-0.028747289239261953,16.77910041809082
2023-08-25,1717544.3113100536,2459222.8267471544,0,0.9300406003625187,0.9208967815503083,0.01084519902963721,16.830610275268555
2023-08-28,1717989.373387548,2461272.913859281,0,0.9290030197285551,0.9223821930177062,0.0008336321092297094,16.718799591064453
2023-08-29,1718434.5507926361,2525136.127584262,0,0.9258462662552783,0.9229447623762702,0.025947229730344246,16.785999298095703
2023-08-30,1718879.8435552027,2539323.4844021704,0,0.9237658411717765,0.9265900865501603,0.005618452273890462,16.786699295043945
2023-08-31,1719325.2517051399,2542451.891647364,0,0.9268628711716977,0.9271037197379653,0.0012319845283241815,16.757129669189453
2023-09-01,1719770.7752723477,2576301.900686515,0,0.9268628711716977,0.9264681738998011,0.013313923126867078,16.998220443725586
2023-09-05,1720216.4142867338,2606567.888528629,0,0.9019486142411808,0.9210572928023261,0.011747842065422898,17.17608070373535
2023-09-06,1720662.1687782137,2614674.039005844,0,0.8978140036072959,0.9154508402727297,0.0031098942455669576,17.382600784301758
2023-09-07,1721108.0387767106,2625291.007593856,0,0.9046180929316756,0.9116212906247096,0.004060532375977921,17.578899383544922
2023-09-08,1721554.0243121556,2628720.428091415,0,0.9046180929316756,0.9071723349767051,0.0013063010872467196,17.577299118041992
2023-09-11,1722000.1254144872,2654525.201412883,0,0.9015210629317544,0.9021039733287164,0.0098164768857536,17.543140411376953
2023-09-12,1722446.3421136523,2585869.730023212,0,0.9015210629317544,0.9020184630668311,-0.02586355983854638,17.281030654907227
2023-09-13,1722892.6744396049,2585561.243938434,0,0.9004834822977908,0.9025523588049301,-0.00011929683896916288,17.21339988708496
2023-09-14,1723339.1224223068,2594165.336446236,0,0.8945329631845306,0.9005353328555012,0.0033277465494090386,17.130599975585938
2023-09-15,1723785.6860917283,2546137.1138476445,0,0.8986675738184153,0.8993452290328492,-0.018513940466256318,17.106359481811523
2023-09-18,1724232.3654778465,2540006.466985921,0,0.9204848007490113,0.9031379765963005,-0.0024078227477934977,17.047399520874023
2023-09-19,1724679.160610647,2544895.924782001,0,0.9139769434342665,0.9056291526968028,0.0019249784831776307,17.11669921875
