Date,nav,benchmark,position,qqq_mxn,usd_mxn,rsi,srp,support,resistance,smooth
2022-11-28,3954714.5234983787,2183453.210561459,1,-0.016592866826020125,19.34354019165039,52.174224008422556,0.5,281.51971435546875,254.6641082763672,283.79759350719627
2022-11-29,3850507.76180833,2161633.983861256,1,-0.00999299027552425,19.296300888061523,50.17874711545872,0.5,281.51971435546875,254.6641082763672,281.84508635616163
2022-11-30,4353185.872678396,2252641.868391463,1,0.04210143123658838,19.23200035095215,60.02067219315245,0.5,281.51971435546875,254.6641082763672,284.3540509345328
2022-12-01,4384682.4991512,2259258.5364677478,1,0.0029372925049153675,19.264850616455078,60.25863106750885,0.5,281.51971435546875,254.6641082763672,286.05965413903544
2022-12-02,4302146.97213297,2234308.7982792095,1,-0.0110433302722166,19.128299713134766,59.02883406777652,0.5,281.51971435546875,254.6641082763672,287.12503034873464
2022-12-05,4139688.9987929123,2226060.135483025,1,-0.003691818607408859,19.38298988342285,54.04427336370989,0.5,281.51971435546875,254.6641082763672,285.0138762686028
2022-12-06,3944807.998662139,2217994.713631191,1,-0.003623182376465306,19.721399307250977,48.67151212332013,0.5,281.51971435546875,275.3801574707031,281.26032619054723
2022-12-07,3903962.5843613613,2212636.1151299053,1,-0.0024159654071098657,19.7544002532959,47.68646044308535,0.5,281.51971435546875,275.3801574707031,277.67991790970757
2022-12-08,4024602.099497007,2228905.103325439,1,0.007352762654594391,19.666900634765625,50.78338536581417,0.5,281.51971435546875,275.3801574707031,275.68139460844714
2022-12-09,3938033.6206663004,2209586.72912134,1,-0.008667203541001811,19.621559143066406,49.07761720627548,0.5,281.51971435546875,275.3801574707031,273.0125667632959
2022-12-12,4115652.1781755863,2256150.1784806536,1,0.021073374828708413,19.786699295043945,52.4422910643547,0.5,281.51971435546875,275.3801574707031,272.51302318041473
2022-12-13,4257921.224109938,2287387.833842542,1,0.01384555676294763,19.847299575805664,55.206451952288056,0.5,281.51971435546875,275.3801574707031,273.6094170974535
2022-12-14,4092920.803701088,2235507.2631043443,1,-0.02268114307972191,19.542020797729492,52.89838955587112,0.5,281.51971435546875,275.3801574707031,274.6319630990608
2022-12-15,3700099.1188528184,2167895.555912733,1,-0.030244458744330793,19.609399795532227,43.994075068534876,0.5,281.51971435546875,275.3801574707031,271.99500843802787
2022-12-16,3616500.6278005294,2162577.841509406,1,-0.0024529384678257937,19.74959945678711,41.909220042210464,0.5,281.51971435546875,275.3801574707031,268.8653636076456
2022-12-19,3474908.5264743115,2137293.168277388,1,-0.011691913579568669,19.79690933227539,39.003160443170195,0.5,281.51971435546875,275.3801574707031,266.1996716045756
2022-12-20,3458065.7519190093,2134625.3455297695,1,-0.0012482249918800425,19.787599563598633,38.844767462918,0.5,281.51971435546875,275.3801574707031,264.57743523473266
2022-12-21,3602161.224493497,2161935.5066093835,1,0.01279388963351602,19.754199981689453,43.45056384493802,0.5,281.51971435546875,275.3801574707031,265.31817156673685
2022-12-22,3330118.8440247537,2098942.44662618,1,-0.029137344657425568,19.659589767456055,38.155625908479934,0.5,281.51971435546875,275.3801574707031,263.2861954951939
2022-12-23,3322608.810646086,2092953.3122988418,1,-0.00285340569340764,19.559499740600586,38.875061285352835,0.5,281.51971435546875,275.3801574707031,261.57245321622315
2022-12-27,3148995.3931206805,2042640.5987392305,1,-0.024039099804070263,19.363069534301758,36.03123678420524,0.5,281.51971435546875,275.3801574707031,259.1160225305755
2022-12-28,3037292.699798373,2025980.7541318731,1,-0.008156033233472582,19.462099075317383,33.59470875119807,0.5,281.51971435546875,275.3801574707031,256.0982656277149
2022-12-29,3244907.5370644545,2071120.1686450045,1,0.022280278043644852,19.422300338745117,41.37293544809709,0.5,281.51971435546875,275.3801574707031,256.11754198141625
2022-12-30,3243667.2124189744,2073638.8209141113,1,0.0012160821507303243,19.457599639892578,41.241693403044756,0.5,281.51971435546875,275.3801574707031,255.23680355714998
2023-01-03,3170740.7083580885,2059748.2566591573,1,-0.0066986420753980536,19.458799362182617,39.71479035583546,0.5,281.51971435546875,275.3801574707031,255.24528776138555
2023-01-04,3211021.003045081,2064115.7354175816,1,0.002120394443497764,19.40760040283203,41.35164178363264,0.5,281.51971435546875,275.3801574707031,256.4588897510716
2023-01-05,3056261.6141483774,2029625.5178622345,1,-0.0167094397680998,19.38680076599121,37.71101832612769,0.5,281.51971435546875,275.3801574707031,256.0687477670414
2023-01-06,3283780.303899258,2078303.6720763838,1,0.02398381070091249,19.31855010986328,46.51258239564678,0.0,263.4173278808594,275.3801574707031,259.0751742174793
2023-01-09,3318946.0894612814,2070724.712099335,1,-0.003646704800110867,19.124300003051758,48.40481315147969,0.14254409461272763,263.4173278808594,275.3801574707031,262.1388165286966
2023-01-10,3407438.397616878,2088274.3136047367,1,0.008475101206287139,19.124500274658203,50.86822229909694,0.3301368884535125,263.4173278808594,275.3801574707031,265.5146029873413
2023-01-11,3564843.221536311,2117192.3605115213,1,0.013847820048539017,19.059600830078125,55.57618043201245,0.7167893713743437,263.4173278808594,275.3801574707031,269.9510271258212
2023-01-12,3597680.281568846,2115545.5274645747,1,-0.0007778381774193877,18.942399978637695,56.986830262068615,0.8396701003576549,263.4173278808594,275.3801574707031,273.60882489354526
2023-01-13,3649869.144558182,2119071.295181408,1,0.0016665997829217183,18.844310760498047,58.790615416733914,0.996954066092174,263.4173278808594,275.3801574707031,277.2336994252304
2023-01-17,3640230.303622851,2115887.222837941,0,-0.0015025791490392848,18.77790069580078,59.33581785675695,1.043648181878479,263.4173278808594,275.3801574707031,280.3007246441945
2023-01-18,3469122.911142333,2073210.9571188306,1,-0.020169442519658687,18.64150047302246,54.362476098681725,0.7438252235980796,263.4173278808594,275.3801574707031,280.9294382518544
2023-01-19,3402300.190789368,2078452.9385895773,1,0.0025284361211517226,18.874059677124023,50.9332586982757,0.5201888785146863,263.4173278808594,275.3801574707031,279.51582875318593
2023-01-20,3701444.1795313,2147624.624973384,1,0.03328037171279252,18.98270034790039,58.676299279979816,1.1370313113842418,263.4173278808594,275.3801574707031,280.1240307197468
2023-01-23,3918736.4981184714,2180887.8001830503,1,0.015488356215918486,18.857770919799805,63.80617981331886,1.6514752626288909,263.4173278808594,275.3801574707031,283.34201548636423
2023-01-24,3886098.0671829884,2171297.835157813,1,-0.004397275744507434,18.81325912475586,63.01475858182739,1.6031459344180328,263.4173278808594,275.3801574707031,285.4943557215646
2023-01-25,3851231.373158036,2163063.8145708004,1,-0.0037922114846183907,18.783599853515625,62.11476032706928,1.5507221975622325,263.4173278808594,275.3801574707031,286.6911928762967
2023-01-26,4072365.5303844223,2204369.3346301015,1,0.019095839790328695,18.776199340820312,66.61607239226804,2.0102857667641163,263.4173278808594,275.3801574707031,289.02252754950496
2023-01-27,4193651.477305922,2228742.689313939,1,0.011056838026612947,18.79669952392578,68.70057048348309,2.2494834157317127,263.4173278808594,275.3801574707031,290.96993294493313
2023-01-30,3936133.8811409175,2180432.769876735,1,-0.021675862210937757,18.768749237060547,60.37250890433225,1.7587870346277277,263.4173278808594,275.3801574707031,289.5691979136717
2023-01-31,4109808.2671444425,2211912.7206095364,1,0.01443747826931685,18.75860023498535,63.804082802947235,2.115138342542564,263.4173278808594,275.3801574707031,289.69616626707364
2023-02-01,4394960.211587157,2269360.878165589,1,0.02597216292522697,18.842870712280273,68.11103968381538,2.6312302613788847,263.4173278808594,275.3801574707031,291.4671368767986
2023-02-02,4782149.946842464,2318373.988931304,1,0.021597759632365765,18.58289909362793,73.85444188809011,3.5159439588977497,263.4173278808594,275.3801574707031,296.77206824932057
2023-02-03,4549411.1427354785,2284339.378847059,1,-0.014680379544774858,18.641399383544922,67.17118225735183,3.0621125617987848,263.4173278808594,275.3801574707031,299.2084661517342
2023-02-06,4516652.650893101,2307478.600681531,1,0.010129502668798196,18.990869522094727,64.24427670710122,2.8499482140215,263.4173278808594,275.3801574707031,300.17903562202264
2023-02-07,4841067.806894203,2377254.2777596735,1,0.03023892705116915,19.167999267578125,67.90225657455481,3.3652110469951375,263.4173278808594,275.3801574707031,302.49305197294893
2023-02-08,4512307.839668354,2300083.558656022,1,-0.03246212230034451,18.881500244140625,61.92562083997457,2.913838846116562,263.4173278808594,275.3801574707031,301.9847589255879
2023-02-09,4403644.888025458,2286148.7263440914,1,-0.006058402643455585,18.934450149536133,59.18669109767569,2.6934780279491224,263.4173278808594,275.3801574707031,300.0770687189447
