Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ,HEDGE_USD,SCORE
2008-07-03,208152.15684542662,190466.6248865272,216782.68910773567,0.0,0.35,0
2008-07-07,208035.5049599489,191185.63439241503,216838.86335217507,0.0,0.35,0
2008-07-08,207986.94142382286,195482.01538249865,216895.05215287706,0.0,0.35,0
2008-07-09,207971.442800162,190128.05687451133,216951.2555136135,0.0,0.35,0
2008-07-10,208015.93980512893,192370.54005339326,217007.4734381573,0.0,0.35,0
2008-07-11,207782.73406143129,188580.51154715833,217063.70593028236,0.0,0.35,0
2008-07-14,208081.55533800632,187829.44531533433,217119.95299376347,0.0,0.35,0
2008-07-15,208073.73986385379,187727.82632657175,217176.21463237656,0.0,0.35,0
2008-07-16,207467.1810865462,190666.4381970713,217232.49084989837,0.0,0.35,0
2008-07-17,207753.61814943716,192558.35545078214,217288.7816501067,0.0,0.35,0
